,match_id,set_id,game_id,player,shot_type,hit_court_side,hit_type,hit_location_long,hit_location_lat,hit_location,hit_velocity,hit_wing,net_type,bounce_court_side,bounce_location_long,bounce_location_lat,bounce_location
231,964239482519510429463795739407980857415734383373,1,4,guest,return,far,ground_stroke,no_mans_land,deuce,"[-0.607968688, 20.5345634824, 1.6011798382]","[3.6106255689, -25.2727559671, -0.5627176951]",left,over,near,service_box,deuce,"[1.2585003376, 7.589015007, 0.0]"
232,964239482519510429463795739407980857415734383373,1,4,host,serve_plus_one,near,ground_stroke,no_mans_land,deuce,"[1.6843930483, 2.2955566528, 1.1577787399]","[-0.9235896246, 20.766423328, 3.2350737439]",right,over,far,no_mans_land,ad,"[0.8372706175, 20.746471405, 0.0]"
233,964239482519510429463795739407980857415734383373,1,4,guest,return_plus_one,far,ground_stroke,no_mans_land,ad,"[0.3243176341, 21.3403496153, 1.3045629263]","[-2.5012649357, -15.9771954936, 3.7573525617]",left,net,far,service_box,deuce,"[-1.3973414898, 18.2262305627, 0.0]"
234,964239482519510429463795739407980857415734383373,1,4,guest,none,far,ground_stroke,no_mans_land,ad,"[0.0553016998, 21.1331657774, 1.505439043]","[5.4807498523, -33.951240813, -0.556489171]",left,over,near,no_mans_land,deuce,"[2.797044754, 4.2641277313, 0.0]"
235,964239482519510429463795739407980857415734383373,1,4,host,first_serve,near,first_serve,service_box,deuce,"[-0.2688465118, 0.0932296182, 2.4215483665]","[-4.4727575259, 39.2983919083, -4.0885155462]",top,over,far,service_box,deuce,"[-2.058848381, 15.5603532791, 0.0]"
236,964239482519510429463795739407980857415734383373,1,4,guest,return,far,ground_stroke,no_mans_land,deuce,"[-1.5945129395, 23.0364364988, 1.4074187279]","[4.4042519371, -29.8393852151, 0.8863049331]",left,over,near,no_mans_land,deuce,"[1.1964731216, 4.2728910446, 0.0]"
237,964239482519510429463795739407980857415734383373,1,4,host,serve_plus_one,near,ground_stroke,no_mans_land,deuce,"[1.5071521997, 0.3148122909, 1.0373747349]","[-1.8949454282, 21.8232754693, 4.5502170624]",right,over,far,out,deuce,"[-0.6101356745, 23.9724431343, 0.0]"
238,964239482519510429463795739407980857415734383373,1,4,guest,return_plus_one,far,ground_stroke,no_mans_land,deuce,"[-0.7003990412, 21.2806038267, 2.1155865192]","[-2.5643868746, -34.6273321771, -2.4913782414]",left,over,near,service_box,ad,"[-1.8549461365, 5.7941184044, 0.0]"
239,964239482519510429463795739407980857415734383373,1,4,host,in_play,near,ground_stroke,no_mans_land,ad,"[-2.8974103928, 0.475556958, 0.5918163061]","[2.0850270475, 16.735414977, 5.038532416]",left,over,far,no_mans_land,deuce,"[-0.5329719423, 18.716554699, 0.0]"
240,964239482519510429463795739407980857415734383373,1,4,host,second_serve,near,second_serve,no_mans_land,ad,"[-0.9979473948, -0.456129816, 2.6265490055]","[-0.1192342208, 21.6701724746, 1.499043213]",top,over,far,no_mans_land,deuce,"[-1.1053231763, 18.4734814268, 0.0]"
