Year,Minority,Major,Programming,Programming_Scale,Statistics,Letter_Grade,Requirement,Birthday,Extrovert,People_Texted,Hours_of_Sleep,Handedness,Sleep_Position,Pets,Piercings,Languages
First Year,Yes,Business,TRUE,2,FALSE,Yes,Yes,8/17,7,15,6,Right-handed,On your back,FALSE,8,2
Third Year,Yes,Molecular and Cell Biology,TRUE,1,FALSE,Yes,No,3/10,4,7,7,Right-handed,On your left side,TRUE,2,3
First Year,No,"Applied Math, Data Science",TRUE,3,FALSE,Yes,Yes,8/30,4,5,7,Right-handed,On your back,TRUE,0,2
First Year,No,"Computer Science, Music",FALSE,4,FALSE,Yes,Yes,1/17,3,10,6,Right-handed,On your left side,FALSE,0,5
First Year,No,Business,FALSE,2,FALSE,Yes,Yes,5/10,6,7,7,Right-handed,On your right side,TRUE,0,2
First Year,No,Computer Science,FALSE,4,FALSE,Yes,Yes,11/17,4,6,7,Right-handed,On your right side,FALSE,4,2
First Year,Yes,Computer Science,FALSE,3,FALSE,Yes,Yes,1/19,8,6,8,Right-handed,On your right side,FALSE,0,2
Fifth Year or above,Yes,"Applied Math, Mathematics",TRUE,3,FALSE,Yes,No,9/8,7,1,8,Right-handed,On your back,FALSE,1,2
First Year,I don't know,"Cognitive Science, Media Studies, Psychology, Undecided",TRUE,1,FALSE,Yes,Yes,4/6,5,6,6,Right-handed,On your back,TRUE,0,3
First Year,No,Economics,TRUE,1,FALSE,Yes,No,8/15,4,3,8,Right-handed,On your left side,FALSE,1,2
First Year,Yes,Civil Engineering,TRUE,2,TRUE,Yes,Yes,9/6,4,4,6,Right-handed,On your left side,FALSE,0,1
First Year,No,Cognitive Science,FALSE,3,TRUE,Yes,Yes,12/15,7,7,9,Left-handed,On your left side,TRUE,0,3
First Year,No,Business,FALSE,3,FALSE,Yes,Yes,10/4,4,7,8,Right-handed,On your stomach,TRUE,2,3
Second Year,No,Chemical Engineering,FALSE,5,FALSE,Yes,Yes,6/8,8,10,6,Right-handed,On your back,TRUE,0,3
First Year,I don't know,"Data Science, Economics",FALSE,3,FALSE,Yes,Yes,5/16,5,10,7,Right-handed,On your right side,FALSE,0,2
Second Year,No,Neuroscience,TRUE,1,FALSE,Yes,No,12/23,6,9,9,Right-handed,On your left side,FALSE,0,2
First Year,No,"Public Health, Philosophy",FALSE,4,FALSE,Yes,Yes,5/24,6,3,7,Right-handed,On your back,TRUE,0,1
First Year,No,Business,TRUE,1,TRUE,Yes,Yes,8/2,8,7,6.5,Right-handed,On your back,TRUE,4,2
First Year,Yes,Computer Science,FALSE,3,TRUE,Yes,Yes,2/20,8,25,6,Right-handed,On your right side,TRUE,4,2
Third Year,I don't know,Applied Math,TRUE,2,TRUE,Yes,Yes,11/19,6,4,8,Right-handed,On your right side,TRUE,0,3
Third Year,I don't know,international studies,TRUE,2,TRUE,No,I don't know,12/2,5,3,6,Right-handed,On your stomach,TRUE,0,3
First Year,No,"Applied Math, Cognitive Science",TRUE,1,TRUE,Yes,Yes,12/22,4,3,7,Left-handed,On your back,TRUE,0,3
First Year,Yes,"Applied Math, Data Science",FALSE,3,TRUE,Yes,Yes,9/13,7,4,7,Left-handed,On your left side,FALSE,3,3
First Year,Yes,"Computer Science, Statistics",FALSE,4,FALSE,Yes,Yes,12/6,3,2,6,Right-handed,On your left side,TRUE,8,3
First Year,No,"Applied Math, Computer Science",FALSE,3,FALSE,Yes,Yes,9/17,9,5,7,Right-handed,On your back,FALSE,0,5
First Year,No,"Data Science, Economics",FALSE,3,FALSE,Yes,Yes,10/26,4,20,8,Left-handed,On your back,FALSE,0,3
Second Year,No,Interdisciplinary Studies,TRUE,1,FALSE,Yes,No,8/10,5,2,8,Right-handed,On your left side,FALSE,3,4
First Year,Yes,Applied Math,FALSE,2,FALSE,Yes,I don't know,8/23,3,5,7,Right-handed,On your right side,FALSE,2,2
First Year,I don't know,"Computer Science, Data Science",TRUE,1,TRUE,Yes,Yes,10/11,7,3,7,Right-handed,On your left side,TRUE,0,5
Second Year,No,Data Science,FALSE,3,FALSE,Yes,Yes,1/22,7,10,7,Right-handed,On your right side,FALSE,9,1
Second Year,Yes,Public Health,TRUE,1,FALSE,Yes,Yes,6/5,4,2,7,Right-handed,On your stomach,FALSE,8,6
Second Year,No,"EECS, Engineering Physics",FALSE,5,FALSE,Yes,No,1/12,6,4,7.5,Right-handed,On your stomach,FALSE,2,1
First Year,Yes,Sociology/Society & Environment,FALSE,3,FALSE,Yes,Yes,8/30,5,10,7,Right-handed,On your left side,FALSE,5,2
Second Year,No,Applied Math,FALSE,3,FALSE,Yes,Yes,3/29,4,3,8,Left-handed,On your back,TRUE,0,3
First Year,Yes,Cognitive Science,FALSE,4,FALSE,Yes,Yes,4/20,5,10,7.5,Right-handed,On your stomach,FALSE,0,4
Second Year,Yes,Civil engineering,FALSE,2,TRUE,Yes,Yes,8/16,8,3,8,Right-handed,On your left side,TRUE,0,2
Second Year,No,"Environmental Science, Molecular and Cell Biology",TRUE,1,TRUE,Yes,Yes,10/4,5,4,7,Right-handed,On your right side,FALSE,9,7
Third Year,Yes,Psychology,FALSE,3,FALSE,Yes,Yes,8/1,2,3,7,Right-handed,On your back,FALSE,0,1
Third Year,I don't know,Psychology,TRUE,1,FALSE,Maybe,No,7/9,5,10,6.5,Right-handed,On your back,TRUE,0,2
Second Year,No,Computer Science,FALSE,4,TRUE,Yes,Yes,8/30,8,8,8.5,Right-handed,On your left side,FALSE,2,4
First Year,No,Cognitive Science,TRUE,2,FALSE,Yes,Yes,3/24,6,10,7,Right-handed,On your right side,FALSE,7,6
Fourth Year,I don't know,Molecular and Cell Biology,TRUE,1,TRUE,Yes,No,1/3,3,4,8,Right-handed,On your back,FALSE,7,3
First Year,I don't know,Environmental Science,TRUE,1,FALSE,Yes,Yes,12/28,5,3,9,Right-handed,On your left side,FALSE,2,3
