Year,Minority,Major,Programming,Programming_Scale,Statistics,Letter_Grade,Requirement,Birthday,Extrovert,People_Texted,Hours_of_Sleep,Handedness,Sleep_Position,Pets,Piercings,Languages
First Year,No,Economics,TRUE,2,TRUE,Yes,Yes,10/26,9,15,7,Right-handed,On your stomach,FALSE,4,3
First Year,Yes,Environmental Economics and Policy,FALSE,2,FALSE,Yes,Yes,1/19,6,16,7.5,Right-handed,On your left side,TRUE,4,3
Second Year,Yes,Applied Math,TRUE,2,FALSE,Yes,No,2/9,8,10,7,Right-handed,On your right side,FALSE,2,4
Second Year,Yes,Media Studies,TRUE,1,TRUE,Yes,Yes,4/19,8,10,8,Right-handed,On your left side,FALSE,0,2
Fourth Year,No,Economics,TRUE,1,FALSE,Yes,Yes,8/13,7,8,8,Right-handed,On your back,TRUE,0,2
First Year,No,Psychology,TRUE,1,FALSE,Yes,Yes,3/11,8,5,7,Right-handed,On your right side,FALSE,2,4
Second Year,Yes,Public Health,TRUE,3,TRUE,Yes,Yes,10/23,4,6,6.5,Right-handed,On your back,FALSE,10,1
First Year,Yes,Political Economy,TRUE,2,FALSE,Yes,Yes,10/12,6,10,7,Right-handed,On your left side,FALSE,2,1
First Year,I don't know,"Cognitive Science, Economics, Undecided",TRUE,1,FALSE,Yes,Yes,7/5,7,4,8,Right-handed,On your right side,TRUE,3,3
First Year,No,"Business, EECS",FALSE,3,FALSE,Yes,Yes,11/11,7,3,6,Left-handed,On your left side,TRUE,0,3
Second Year,Yes,Business,TRUE,1,TRUE,Yes,Yes,3/23,10,7,8,Right-handed,On your right side,TRUE,2,2
Second Year,Yes,Molecular and Cell Biology,TRUE,1,TRUE,Yes,Yes,6/17,5,5,6,Right-handed,On your stomach,FALSE,1,1
First Year,I don't know,Computer Science,FALSE,3,TRUE,Yes,Yes,12/19,2,67,8,Right-handed,On your left side,TRUE,0,4
First Year,I don't know,Economics,FALSE,2,FALSE,Yes,Yes,1/29,7,9,7.5,Right-handed,On your stomach,TRUE,2,2
First Year,Yes,Business,FALSE,3,FALSE,Yes,Yes,9/28,3,1,8,Right-handed,On your right side,TRUE,0,3
Second Year,Yes,Data Science,FALSE,4,TRUE,Yes,Yes,11/15,7,4,7,Left-handed,On your right side,FALSE,0,2
First Year,Yes,Computer Science,FALSE,3,TRUE,Yes,No,4/24,5,4,9,Right-handed,On your left side,TRUE,0,2
First Year,Yes,Molecular and Cell Biology,TRUE,3,TRUE,Yes,Yes,2/9,6,3,7,Right-handed,On your stomach,FALSE,4,2
First Year,No,Public Health,TRUE,1,TRUE,Yes,Yes,5/27,4,9,7,Right-handed,On your left side,FALSE,4,1
First Year,No,"Business, Mathematics, Physics",TRUE,1,TRUE,Maybe,I don't know,5/27,6,8,8,Right-handed,On your back,FALSE,0,2
First Year,No,Society and Environment,TRUE,1,TRUE,Yes,Yes,7/13,8,10,8,Right-handed,On your right side,TRUE,5,2
First Year,Yes,Physics,TRUE,2,TRUE,Yes,I don't know,8/1,7,3,9,Right-handed,On your back,FALSE,2,2
First Year,I don't know,Business,FALSE,2,FALSE,Yes,Yes,2/1,7,10,7,Right-handed,On your left side,FALSE,0,2
First Year,No,Political Economy,TRUE,1,FALSE,Yes,Yes,11/25,8,2,6,Right-handed,On your right side,FALSE,3,6
Second Year,I don't know,Media Studies,FALSE,2,FALSE,Maybe,Yes,10/5,6,5,8,Right-handed,On your right side,FALSE,2,4
Second Year,Yes,Cognitive Science,FALSE,4,FALSE,Yes,Yes,12/14,5,2,7,Right-handed,On your right side,TRUE,3,4
First Year,Yes,"Data Science, Molecular and Cell Biology",FALSE,3,TRUE,Yes,Yes,12/31,6,4,7,Right-handed,On your left side,FALSE,2,6
First Year,No,"Data Science, Economics",FALSE,4,FALSE,Yes,Yes,7/12,3,5,6,Right-handed,On your right side,TRUE,0,3
First Year,No,Psychology,TRUE,1,TRUE,Yes,Yes,1/13,8,15,8,Right-handed,On your right side,FALSE,2,2
First Year,No,Neuroscience,FALSE,4,FALSE,Yes,No,7/18,6,12,7,Right-handed,On your back,TRUE,2,3
Fourth Year,Yes,Molecular and Cell Biology,TRUE,2,FALSE,Yes,Yes,10/13,8,5,9,Right-handed,On your stomach,FALSE,0,1
First Year,Yes,Political Science,TRUE,1,TRUE,Yes,Yes,1/23,5,4,7,Right-handed,On your left side,FALSE,7,3
Second Year,Yes,Economics,FALSE,3,TRUE,Yes,Yes,11/20,7,15,6,Left-handed,On your right side,TRUE,2,2
First Year,Yes,Business,TRUE,1,TRUE,Yes,Yes,7/8,7,4,7,Right-handed,On your right side,FALSE,2,2
Third Year,No,"Public Health, also Molecular Environmental Biology",FALSE,2,FALSE,Yes,Yes,4/19,8,8,7,Right-handed,On your left side,FALSE,0,5
First Year,No,"Business, Economics",FALSE,4,TRUE,Yes,Yes,5/3,4,3,5,Right-handed,On your left side,FALSE,2,3
First Year,I don't know,"Data Science, Economics",TRUE,3,FALSE,Yes,Yes,10/30,5,2,8,Right-handed,On your right side,TRUE,2,3
Third Year,No,Psychology,FALSE,3,TRUE,Yes,Yes,8/29,5,3,5,Right-handed,On your stomach,FALSE,0,2
Second Year,Yes,Economics,FALSE,2,FALSE,Yes,Yes,12/19,8,2,7,Right-handed,On your back,FALSE,0,3
First Year,I don't know,"Applied Math, Data Science",TRUE,2,FALSE,Yes,Yes,3/2,5,2,6,Right-handed,On your right side,FALSE,4,2
First Year,Yes,Society & Environment,TRUE,1,TRUE,Yes,No,6/22,3,15,8,Right-handed,On your back,FALSE,5,2
Second Year,I don't know,Media Studies,TRUE,1,TRUE,Yes,Yes,11/5,3,4,7,Right-handed,On your left side,FALSE,0,2
Second Year,No,"Business, Computer Science",FALSE,4,TRUE,Yes,Yes,1/29,6,8,8,Right-handed,On your back,TRUE,0,3
First Year,I don't know,Undecided,TRUE,1,TRUE,Yes,Yes,10/2,4,8,7.5,Right-handed,On your right side,TRUE,4,3
First Year,Yes,Mathematics,FALSE,3,TRUE,Yes,Yes,12/6,3,2,7,Right-handed,On your stomach,FALSE,2,3
Third Year,Yes,Computer Science,FALSE,4,FALSE,Yes,Yes,5/1,4,4,6,Right-handed,On your right side,FALSE,6,4
First Year,No,Applied Math,FALSE,4,FALSE,Yes,Yes,8/18,3,6,8,Right-handed,On your left side,FALSE,0,2
Second Year,Yes,Mathematics,TRUE,2,TRUE,Yes,No,7/5,3,2,7.5,Right-handed,On your left side,FALSE,0,2
First Year,Yes,Undecided,TRUE,1,FALSE,Yes,Yes,5/18,2,6,7,Right-handed,On your left side,FALSE,4,2
Third Year,I don't know,"Applied Math, Statistics",FALSE,3,FALSE,Yes,Yes,6/15,7,5,5,Right-handed,On your right side,TRUE,0,7
Third Year,No,Cognitive Science,FALSE,2,FALSE,Yes,Yes,12/28,8,4,7,Right-handed,On your left side,TRUE,2,4
Third Year,I don't know,Interdisciplinary Studies,TRUE,3,FALSE,Yes,I don't know,7/2,3,3,5,Right-handed,On your back,TRUE,5,3
First Year,No,Microbial Biology,TRUE,2,TRUE,Yes,Yes,6/11,6,3,8,Right-handed,On your right side,FALSE,2,2
Third Year,I don't know,EECS,FALSE,4,FALSE,Yes,No,9/14,4,3,7,Left-handed,On your right side,TRUE,0,4
First Year,No,"Molecular and Cell Biology, Public Health",FALSE,1,FALSE,Yes,Yes,6/15,7,5,7,Left-handed,On your left side,TRUE,0,3
Third Year,Yes,Business,TRUE,3,FALSE,Maybe,I don't know,4/26,2,3,8,Right-handed,On your left side,TRUE,0,3
Second Year,Yes,Molecular and Cell Biology,TRUE,2,TRUE,Yes,No,6/9,2,3,8,Right-handed,On your back,TRUE,0,3
Second Year,No,"Data Science, Economics",FALSE,2,FALSE,Yes,Yes,1/24,7,4,7,Right-handed,On your right side,TRUE,7,6
First Year,Yes,"Data Science, Public Health",TRUE,1,FALSE,Yes,Yes,5/19,6,5,8,Left-handed,On your right side,FALSE,2,3
Second Year,No,Cognitive Science,TRUE,1,TRUE,Yes,Yes,3/17,8,10,7,Right-handed,On your left side,FALSE,7,2
Third Year,I don't know,Undecided,TRUE,1,TRUE,Yes,Yes,1/19,3,3,7,Left-handed,On your right side,FALSE,1,4
Third Year,Yes,Mathematics,FALSE,2,FALSE,Yes,Yes,5/14,4,3,7,Right-handed,On your right side,TRUE,9,2
First Year,No,Economics,TRUE,2,TRUE,Yes,Yes,10/27,3,5,8,Right-handed,On your back,TRUE,0,3
First Year,Yes,"Business, Data Science",FALSE,1,FALSE,Yes,Yes,1/2,8,11,9,Right-handed,On your back,FALSE,0,7
Second Year,Yes,neuroscience ,TRUE,3,TRUE,Yes,No,6/14,7,5,6,Right-handed,On your back,FALSE,3,3
Third Year,No,Political Economy,TRUE,1,FALSE,Maybe,No,8/12,3,5,6,Right-handed,On your right side,FALSE,0,3
Second Year,I don't know,Business,TRUE,1,FALSE,Yes,No,5/27,9,8,6,Right-handed,On your right side,TRUE,2,2
First Year,No,Applied Math,FALSE,4,FALSE,Yes,Yes,5/21,4,10,8,Right-handed,On your left side,TRUE,0,3
First Year,I don't know,Theater ,TRUE,1,TRUE,Yes,Yes,1/1,7,7,6,Right-handed,On your left side,FALSE,2,1
First Year,Yes,Data Science,FALSE,3,TRUE,Yes,Yes,4/2,5,10,8,Right-handed,On your back,TRUE,0,3
Second Year,No,"Cognitive Science, English",TRUE,4,TRUE,Yes,Yes,11/9,6,4,7,Right-handed,On your left side,FALSE,0,3
Third Year,No,Business,FALSE,3,FALSE,Maybe,Yes,6/7,8,5,8,Right-handed,On your right side,TRUE,3,2
Third Year,Yes,"Political Science, Psychology",FALSE,3,FALSE,Yes,Yes,10/9,7,3,7,Right-handed,On your left side,FALSE,2,3
First Year,No,Business,FALSE,2,FALSE,Yes,Yes,6/19,4,10,6,Right-handed,On your right side,TRUE,2,3
Third Year,Yes,Nutritional Sciences,TRUE,1,FALSE,Yes,I don't know,8/21,7,7,8,Right-handed,On your left side,FALSE,3,1
First Year,I don't know,industrial engineering and operations research,TRUE,3,FALSE,Yes,Yes,9/4,7,5,8,Right-handed,On your stomach,TRUE,8,3
Fourth Year,No,Public Health,TRUE,2,FALSE,Yes,Yes,2/22,7,1,7,Right-handed,On your left side,TRUE,0,8
Third Year,I don't know,Film & Media Studies,TRUE,1,FALSE,Yes,Yes,10/17,7,6,7,Right-handed,On your back,FALSE,2,7
First Year,I don't know,"Applied Math, Mathematics",TRUE,3,TRUE,Yes,I don't know,3/27,3,1,8,Right-handed,On your back,TRUE,0,4
First Year,No,Nutritional science,TRUE,1,TRUE,Yes,No,8/25,4,6,8,Right-handed,On your left side,TRUE,0,3
First Year,Yes,"Economics, Public Health",TRUE,1,TRUE,Yes,Yes,3/29,3,6,7,Right-handed,On your right side,TRUE,2,7
First Year,No,"Political Economy, Political Science",FALSE,3,FALSE,Yes,Yes,10/6,4,4,8,Right-handed,On your left side,TRUE,5,3
First Year,No,Nuclear Engineering,FALSE,3,TRUE,Yes,Yes,4/30,5,5,6.5,Right-handed,On your right side,TRUE,2,3
First Year,Yes,Intended Civil Engineering,TRUE,1,TRUE,Yes,Yes,6/7,5,4,6,Right-handed,On your right side,FALSE,6,3
First Year,I don't know,"Cognitive Science, Data Science, Undecided",FALSE,4,FALSE,No,Yes,9/17,5,3,7,Right-handed,On your back,TRUE,7,7
Second Year,I don't know,Psychology,TRUE,2,FALSE,Yes,No,8/28,3,2,6,Right-handed,On your left side,FALSE,4,2
Fourth Year,Yes,Molecular and Cell Biology,FALSE,1,TRUE,Yes,No,7/3,5,12,6,Right-handed,On your right side,FALSE,8,5
Second Year,No,Physics,FALSE,4,FALSE,Yes,No,1/30,3,6,7,Right-handed,On your back,TRUE,7,6
Fourth Year,Yes,"Psychology, Public Health",FALSE,3,FALSE,Yes,Yes,9/19,3,3,7,Right-handed,On your right side,TRUE,0,2
First Year,No,"Data Science, Economics",FALSE,2,TRUE,Yes,Yes,4/16,7,15,7,Right-handed,On your right side,FALSE,2,2
Second Year,Yes,Mechanical Engineering,FALSE,2,TRUE,Yes,Yes,2/2,8,5,7,Right-handed,On your right side,FALSE,2,2
Second Year,Yes,Cognitive Science,FALSE,1,FALSE,Yes,Yes,1/10,4,3,8,Right-handed,On your stomach,TRUE,2,5
Third Year,No,nutritional sciences,TRUE,1,FALSE,Yes,Yes,8/21,6,7,7,Right-handed,On your stomach,FALSE,5,1
Third Year,Yes,Applied Math,FALSE,4,FALSE,Yes,Yes,1/16,5,2,6,Right-handed,On your left side,TRUE,0,5
First Year,No,Business,FALSE,1,FALSE,Yes,Yes,9/25,6,6,7,Right-handed,On your right side,FALSE,1,1
Second Year,No,Applied Math,TRUE,1,TRUE,Yes,No,10/3,6,10,3,Right-handed,On your left side,FALSE,1,5
First Year,Yes,"Data Science, Psychology",TRUE,1,FALSE,Yes,Yes,9/5,3,3,8,Left-handed,On your left side,TRUE,2,5
Second Year,No,Cognitive Science,TRUE,1,FALSE,Yes,Yes,11/16,7,10,7,Right-handed,On your right side,TRUE,1,3
Third Year,I don't know,Mathematics,FALSE,2,FALSE,Yes,Yes,4/1,5,10,7,Right-handed,On your right side,FALSE,0,3
First Year,No,"Economics, Physics",FALSE,3,TRUE,Yes,Yes,2/22,8,8,7,Right-handed,On your stomach,FALSE,0,4
Third Year,No,Media Studies,TRUE,2,FALSE,Yes,Yes,8/30,7,5,8,Right-handed,On your back,FALSE,3,2
Second Year,Yes,Molecular and Cell Biology,TRUE,3,FALSE,Yes,Yes,3/20,8,12,7,Right-handed,On your right side,FALSE,0,5
First Year,Yes,Economics,TRUE,2,TRUE,Yes,Yes,12/24,8,4,8,Right-handed,On your right side,TRUE,0,3
First Year,I don't know,Political Science,FALSE,1,TRUE,Yes,Yes,5/25,8,5,7,Right-handed,On your right side,TRUE,0,1
First Year,Yes,Applied Math,TRUE,1,TRUE,Yes,I don't know,3/16,5,10,8,Right-handed,On your right side,FALSE,5,5
Second Year,Yes,Media Studies,FALSE,3,TRUE,Yes,Yes,12/12,7,8,6,Right-handed,On your back,FALSE,6,3
Third Year,Yes,"Computer Science, Data Science",FALSE,4,FALSE,Yes,Yes,2/20,1,5,6,Right-handed,On your back,FALSE,4,3
First Year,Yes,Applied Math,TRUE,4,FALSE,Yes,I don't know,1/18,1,0,8,Right-handed,On your left side,FALSE,0,4
First Year,No,Undecided,TRUE,2,FALSE,Yes,I don't know,3/26,2,1,7,Right-handed,On your stomach,TRUE,0,4
First Year,I don't know,"Economics, Political Science",TRUE,1,FALSE,Yes,Yes,2/2,4,6,7,Right-handed,On your left side,FALSE,0,2
First Year,No,EECS,FALSE,5,FALSE,Yes,Yes,4/7,7,10,5,Right-handed,On your back,TRUE,0,5
First Year,No,neuroscience,TRUE,1,FALSE,Yes,No,1/5,8,10,5,Right-handed,On your right side,FALSE,9,2
First Year,Yes,Political Science,TRUE,1,FALSE,Yes,Yes,8/31,6,10,6,Right-handed,On your right side,FALSE,5,3
First Year,Yes,Environmental Science,TRUE,1,TRUE,Yes,No,6/17,7,6,7,Right-handed,On your right side,FALSE,2,1
First Year,No,Integrative Biology,FALSE,2,FALSE,Yes,Yes,4/6,9,10,8,Right-handed,On your right side,FALSE,4,5
First Year,No,Business,TRUE,1,FALSE,Yes,Yes,5/8,7,8,7,Right-handed,On your left side,FALSE,0,2
Third Year,No,Global Studies,TRUE,1,FALSE,Yes,Yes,11/20,9,10,7.5,Right-handed,On your back,FALSE,0,1
First Year,No,Molecular and Cell Biology,TRUE,1,FALSE,Yes,No,12/8,6,4,6,Right-handed,On your right side,TRUE,1,3
Second Year,No,Cognitive Science,FALSE,3,FALSE,Yes,Yes,3/27,7,4,7,Right-handed,On your right side,TRUE,4,3
First Year,No,Cognitive Science,FALSE,2,TRUE,Yes,Yes,9/9,7,7,7.5,Right-handed,On your left side,TRUE,0,1
Third Year,No,Public Health,FALSE,3,FALSE,Yes,Yes,10/22,6,15,6,Right-handed,On your stomach,FALSE,15,4
Third Year,Yes,EECS,FALSE,5,FALSE,Yes,Yes,7/2,6,12,7,Right-handed,On your right side,TRUE,4,2
Second Year,No,AI,FALSE,4,FALSE,Yes,Yes,3/22,4,3,8,Right-handed,On your left side,TRUE,0,4
Third Year,I don't know,Molecular and Cell Biology,TRUE,2,FALSE,Yes,Yes,5/28,7,1,5,Right-handed,On your right side,FALSE,2,5
Third Year,No,Cognitive Science,TRUE,2,TRUE,Yes,Yes,10/11,7,2,7,Right-handed,On your right side,TRUE,7,4
Second Year,Yes,"Economics, Environmental Science",TRUE,2,FALSE,Yes,Yes,2/20,7,12,7,Right-handed,On your back,FALSE,2,1
First Year,No,English,TRUE,1,TRUE,Yes,I don't know,11/15,7,10,7,Right-handed,On your right side,TRUE,0,2
First Year,No,Data Science,FALSE,4,FALSE,Yes,Yes,3/11,4,1,7,Right-handed,On your back,FALSE,0,4
Third Year,I don't know,EECS,FALSE,4,TRUE,Yes,No,11/21,8,6,8,Right-handed,On your left side,TRUE,0,3
Third Year,No,"Business, Political Economy",FALSE,2,FALSE,Maybe,Yes,11/22,5,15,5,Right-handed,On your right side,TRUE,6,3
First Year,No,"Cognitive Science, Computer Science",TRUE,4,FALSE,Yes,Yes,10/8,7,8,7,Right-handed,On your back,FALSE,0,2
First Year,Yes,Computer Science,FALSE,4,FALSE,Yes,Yes,2/28,8,5,1,Right-handed,On your right side,FALSE,2,4
Second Year,I don't know,Media Studies,TRUE,1,FALSE,Yes,Yes,10/23,6,10,8,Right-handed,On your right side,FALSE,1,2
Third Year,No,Chemistry,TRUE,3,TRUE,Yes,No,3/29,4,3,7,Right-handed,On your back,TRUE,0,2
First Year,No,Political Economy,FALSE,3,TRUE,Yes,Yes,6/18,6,4,8.5,Right-handed,On your stomach,FALSE,4,3
Second Year,No,Applied Math,TRUE,1,FALSE,Yes,No,5/5,6,6,8,Right-handed,On your back,FALSE,2,2
Second Year,Yes,Industrial Engineering,FALSE,3,TRUE,Yes,Yes,12/25,7,10,6,Right-handed,On your back,FALSE,2,2
First Year,No,Applied Math,FALSE,3,FALSE,Yes,Yes,7/16,5,6,7,Right-handed,On your back,TRUE,2,3
Third Year,Yes,Political Science,TRUE,1,TRUE,Yes,Yes,2/21,8,7,6,Right-handed,On your back,TRUE,2,2
Third Year,No,Conservation & Resource Studies,TRUE,2,TRUE,Yes,No,2/10,5,2,7,Left-handed,On your right side,FALSE,2,3
First Year,No,Conservation and resource studies,FALSE,4,FALSE,Yes,Yes,7/20,8,7,8,Right-handed,On your back,TRUE,2,2
Second Year,No,Business,TRUE,1,FALSE,Yes,Yes,4/1,8,8,8,Right-handed,On your back,TRUE,2,2
Second Year,No,IEOR,FALSE,1,FALSE,Yes,Yes,1/31,1,8,6,Right-handed,On your right side,TRUE,0,5
Third Year,Yes,Physics,FALSE,2,TRUE,Yes,No,2/17,4,3,6,Right-handed,On your right side,TRUE,3,3
First Year,No,"Cognitive Science, Data Science",FALSE,5,FALSE,Yes,Yes,12/2,4,3,7,Right-handed,On your right side,FALSE,5,2
Third Year,No,environmental economics and policy,TRUE,1,FALSE,Yes,Yes,7/1,8,10,7,Right-handed,On your stomach,FALSE,3,6
First Year,No,Environmental Science,TRUE,2,FALSE,Maybe,No,8/15,4,5,7.5,Right-handed,On your back,TRUE,0,3
Third Year,No,English,TRUE,1,TRUE,Yes,No,10/16,3,2,5,Right-handed,On your right side,FALSE,0,2
Second Year,No,IEOR,FALSE,3,FALSE,Yes,Yes,1/16,8,10,6,Right-handed,On your stomach,TRUE,7,1
Third Year,No,"Computer Science, Molecular Environmental Biology",FALSE,4,FALSE,Yes,Yes,11/18,8,10,7,Right-handed,On your right side,TRUE,2,3
Second Year,I don't know,Computer Science,FALSE,4,FALSE,Yes,Yes,10/17,6,10,7,Right-handed,On your right side,FALSE,0,4
Third Year,No,Media Studies,TRUE,1,FALSE,Yes,Yes,4/29,8,7,7,Right-handed,On your back,FALSE,0,1
Fourth Year,Yes,"Economics, and Music",TRUE,1,FALSE,Yes,No,8/14,7,3,7,Right-handed,On your back,TRUE,3,3
Third Year,I don't know,Statistics,TRUE,1,TRUE,Yes,Yes,6/13,4,3,8,Right-handed,On your right side,FALSE,8,2
First Year,Yes,Physics,FALSE,5,FALSE,Yes,No,6/16,3,2,7,Right-handed,On your right side,TRUE,0,2
First Year,Yes,Applied Math,FALSE,4,FALSE,Yes,No,4/25,8,5,8,Right-handed,On your stomach,TRUE,0,3
First Year,No,English,FALSE,3,FALSE,Yes,Yes,6/16,3,4,8,Right-handed,On your right side,TRUE,0,3
First Year,No,Economics,TRUE,3,TRUE,Yes,Yes,6/4,4,4,6,Right-handed,On your left side,FALSE,0,2
First Year,Yes,Applied Math,TRUE,1,FALSE,Yes,Yes,10/4,3,2,6,Right-handed,On your right side,TRUE,0,3
Second Year,Yes,"Data Science, Chemical Engineering",FALSE,3,FALSE,Yes,Yes,9/6,8,30,8,Right-handed,On your back,FALSE,0,3
Second Year,Yes,Political Economy,TRUE,1,FALSE,Yes,I don't know,6/9,4,10,7,Right-handed,On your left side,TRUE,0,5
Third Year,I don't know,Computer Science,FALSE,3,TRUE,No,Yes,5/13,4,5,8,Right-handed,On your back,TRUE,0,3
First Year,No,"Business, Political Science",TRUE,4,TRUE,Yes,Yes,7/18,7,3,7,Right-handed,On your left side,FALSE,1,4
First Year,Yes,"Data Science, Economics",FALSE,4,FALSE,Yes,Yes,8/9,10,40,5,Right-handed,On your right side,FALSE,2,3
Second Year,No,Business,TRUE,2,FALSE,Yes,Yes,12/2,6,10,8,Right-handed,On your right side,FALSE,0,3
First Year,No,"Data Science, Economics",TRUE,1,TRUE,Yes,Yes,5/14,7,4,5,Right-handed,On your stomach,TRUE,2,2
Third Year,No,Political Science,FALSE,2,TRUE,Maybe,No,11/19,7,10,7,Right-handed,On your back,FALSE,0,2
Third Year,No,Molecular and Cell Biology,TRUE,4,FALSE,Yes,No,12/6,5,5,7,Right-handed,On your stomach,FALSE,4,4
Fourth Year,Yes,Conservation and Resource Studies,TRUE,2,FALSE,Maybe,No,11/7,5,6,8,Right-handed,On your back,FALSE,6,2
Third Year,I don't know,Applied Math,FALSE,3,TRUE,Yes,Yes,11/8,6,4,7,Right-handed,On your right side,TRUE,0,3
First Year,No,Business,TRUE,1,FALSE,Yes,Yes,1/8,5,20,7,Right-handed,On your right side,FALSE,1,1
Third Year,I don't know,Education,FALSE,3,TRUE,Yes,Yes,6/12,3,5,8,Right-handed,On your back,TRUE,0,3
First Year,I don't know,Mechanical Engineering,FALSE,4,TRUE,Yes,Yes,9/6,4,10,7.5,Left-handed,On your left side,TRUE,0,1
Third Year,Yes,Cognitive Science,FALSE,3,FALSE,Yes,Yes,5/30,6,3,7,Right-handed,On your right side,TRUE,1,1
Third Year,No,Conservation and Resource Studies,TRUE,1,TRUE,No,No,6/23,6,5,8,Right-handed,On your left side,FALSE,2,5
First Year,No,Computer Science,FALSE,4,FALSE,Yes,Yes,4/3,6,4,7,Right-handed,On your left side,FALSE,0,3
First Year,Yes,"Applied Math, Statistics, Undecided",TRUE,1,FALSE,Yes,Yes,4/4,6,3,7,Right-handed,On your right side,FALSE,4,1
Fourth Year,No,"Business, Economics",TRUE,1,TRUE,Maybe,No,6/13,7,10,8,Right-handed,On your left side,FALSE,0,4
First Year,No,Computer Science,FALSE,4,FALSE,Yes,Yes,4/6,6,6,8,Right-handed,On your back,FALSE,0,1
Third Year,Yes,Mathematics,FALSE,4,FALSE,Yes,Yes,6/23,3,8,6,Right-handed,On your back,FALSE,0,2
Third Year,Yes,Media Studies,TRUE,1,FALSE,Yes,I don't know,1/16,7,10,8,Right-handed,On your back,FALSE,2,2
Third Year,No,Physics,FALSE,3,TRUE,Yes,Yes,3/9,6,8,6,Right-handed,On your left side,TRUE,0,0
First Year,No,Economics,FALSE,2,FALSE,Yes,Yes,7/9,8,4,9,Right-handed,On your right side,FALSE,0,3
First Year,Yes,Civil Engineering,TRUE,2,TRUE,Yes,Yes,7/24,6,2,6,Right-handed,On your left side,FALSE,0,2
Third Year,No,"Public Health, Legal Studies",FALSE,3,FALSE,Yes,Yes,3/14,6,3,8,Right-handed,On your stomach,TRUE,7,3
First Year,No,Applied Math,TRUE,2,FALSE,Yes,Yes,2/9,5,4,8,Right-handed,On your back,TRUE,2,3
First Year,Yes,Political Economy,FALSE,2,FALSE,Yes,Yes,9/28,9,8,7,Right-handed,On your left side,TRUE,2,3
Second Year,Yes,Psychology,FALSE,3,FALSE,Yes,Yes,11/28,6,5,7,Right-handed,On your left side,FALSE,3,2
Third Year,No,"Economics, Spanish",FALSE,1,FALSE,Yes,Yes,12/23,8,10,8,Right-handed,On your stomach,FALSE,12,3
First Year,No,Applied Math,FALSE,4,FALSE,Yes,No,8/10,10,20,6,Right-handed,On your left side,FALSE,0,3
Third Year,No,"Applied Math, Statistics",FALSE,4,FALSE,Yes,Yes,12/17,7,3,7,Right-handed,On your right side,TRUE,0,2
First Year,Yes,Cognitive Science,FALSE,2,FALSE,Yes,Yes,6/24,3,4,8,Right-handed,On your right side,TRUE,3,7
Fourth Year,No,Neuroscience,TRUE,3,TRUE,Yes,No,3/24,5,3,8,Right-handed,On your back,FALSE,2,3
First Year,Yes,Public Health,TRUE,1,TRUE,Yes,Yes,1/15,7,4,9,Right-handed,On your back,FALSE,4,2
First Year,Yes,"Political Science, Legal Studies",TRUE,1,TRUE,Yes,Yes,2/10,7,4,6,Right-handed,On your stomach,FALSE,10,2
Second Year,Yes,Chemical Engineering,FALSE,2,FALSE,Maybe,I don't know,12/30,5,11,7,Right-handed,On your back,TRUE,2,1
First Year,No,Data Science,FALSE,3,TRUE,Yes,Yes,12/8,6,7,7,Right-handed,On your back,TRUE,3,2
First Year,I don't know,Chemical Engineering,TRUE,1,FALSE,Yes,Yes,1/20,8,8,7,Right-handed,On your right side,FALSE,1,2
Third Year,Yes,Mathematics,TRUE,1,TRUE,Yes,Yes,6/18,3,3,6,Right-handed,On your right side,FALSE,0,3
First Year,Yes,Applied Math,FALSE,2,TRUE,Yes,I don't know,2/11,9,10,7,Right-handed,On your stomach,FALSE,0,5
First Year,I don't know,EEP,TRUE,3,FALSE,Yes,Yes,12/9,3,3,8,Right-handed,On your left side,TRUE,2,5
First Year,No,Molecular and Cell Biology,FALSE,2,TRUE,Yes,Yes,2/10,5,5,7,Right-handed,On your back,TRUE,0,3
Third Year,Yes,Computer Science,FALSE,4,FALSE,Yes,No,1/12,5,4,7,Right-handed,On your left side,FALSE,2,2
Third Year,Yes,Interdisciplinary Studies,FALSE,1,FALSE,Yes,Yes,2/1,1,3,7,Right-handed,On your back,FALSE,3,3
Second Year,No,Public Health,TRUE,2,TRUE,Yes,Yes,12/15,5,7,8,Right-handed,On your right side,FALSE,6,7
Fourth Year,No,Public Health,FALSE,1,TRUE,Yes,Yes,4/16,5,5,7,Right-handed,On your right side,FALSE,0,2
First Year,No,"Applied Math, Data Science, Economics",TRUE,1,FALSE,Yes,Yes,7/11,6,5,6.5,Right-handed,On your back,TRUE,2,3
Third Year,No,EECS,FALSE,3,FALSE,Maybe,Yes,4/28,5,3,6,Right-handed,On your left side,FALSE,0,3
First Year,No,Business,FALSE,3,TRUE,Yes,Yes,6/15,4,4,5,Right-handed,On your left side,FALSE,2,2
Third Year,Yes,Statistics,FALSE,3,FALSE,Yes,Yes,3/27,4,3,6,Right-handed,On your left side,FALSE,0,2
Third Year,No,Media Studies,TRUE,2,TRUE,Yes,I don't know,3/29,4,7,6,Right-handed,On your right side,FALSE,0,3
First Year,No,"Cognitive Science, Computer Science, Media Studies",FALSE,3,FALSE,Yes,Yes,9/29,7,6,8,Right-handed,On your right side,FALSE,5,3
First Year,No,"Computer Science, Data Science, Economics",TRUE,1,TRUE,Yes,Yes,1/1,8,10,7,Right-handed,On your right side,FALSE,0,1
